timestamp,forecast_wind_speed,forecast_wind_direction
2025-07-02 00:00:00,8.3,18
2025-07-02 01:00:00,7.3,20
2025-07-02 02:00:00,6.6,22
2025-07-02 03:00:00,6.1,28
2025-07-02 04:00:00,5.7,35
2025-07-02 05:00:00,5.6,45
2025-07-02 06:00:00,4.8,48
2025-07-02 07:00:00,3.4,32
2025-07-02 08:00:00,2.6,344
2025-07-02 09:00:00,4.3,312
2025-07-02 10:00:00,6.8,302
2025-07-02 11:00:00,9.8,298
2025-07-02 12:00:00,12.2,298
2025-07-02 13:00:00,13.4,301
2025-07-02 14:00:00,14.1,302
2025-07-02 15:00:00,15.0,305
2025-07-02 16:00:00,17.0,306
2025-07-02 17:00:00,19.3,307
2025-07-02 18:00:00,20.0,309
2025-07-02 19:00:00,17.3,318
2025-07-02 20:00:00,13.7,337
2025-07-02 21:00:00,12.3,353
2025-07-02 22:00:00,11.6,355
2025-07-02 23:00:00,10.4,346
2025-07-03 00:00:00,9.8,336
2025-07-03 01:00:00,8.7,330
2025-07-03 02:00:00,7.8,326
2025-07-03 03:00:00,6.6,319
2025-07-03 04:00:00,5.6,310
2025-07-03 05:00:00,4.5,299
2025-07-03 06:00:00,3.9,292
2025-07-03 07:00:00,3.2,297
2025-07-03 08:00:00,2.8,310
2025-07-03 09:00:00,2.8,310
2025-07-03 10:00:00,3.6,276
2025-07-03 11:00:00,6.4,254
2025-07-03 12:00:00,8.4,250
2025-07-03 13:00:00,9.3,254
2025-07-03 14:00:00,9.8,264
2025-07-03 15:00:00,10.1,272
2025-07-03 16:00:00,10.2,278
2025-07-03 17:00:00,10.3,282
2025-07-03 18:00:00,10.5,286
2025-07-03 19:00:00,10.5,286
2025-07-03 20:00:00,10.7,284
2025-07-03 21:00:00,10.3,282
2025-07-03 22:00:00,9.6,283
2025-07-03 23:00:00,8.5,282
2025-07-04 00:00:00,7.4,284
2025-07-04 01:00:00,6.7,286
2025-07-04 02:00:00,5.9,284
2025-07-04 03:00:00,5.2,282
2025-07-04 04:00:00,4.7,270
2025-07-04 05:00:00,4.8,257
2025-07-04 06:00:00,5.2,245
2025-07-04 07:00:00,5.5,238
2025-07-04 08:00:00,6.0,237
2025-07-04 09:00:00,6.8,238
2025-07-04 10:00:00,8.1,238
2025-07-04 11:00:00,10.0,240
2025-07-04 12:00:00,11.4,242
2025-07-04 13:00:00,13.2,244
2025-07-04 14:00:00,14.8,247
2025-07-04 15:00:00,16.1,250
2025-07-04 16:00:00,16.6,257
2025-07-04 17:00:00,16.9,268
2025-07-04 18:00:00,17.3,272
2025-07-04 19:00:00,16.6,271
2025-07-04 20:00:00,15.5,266
2025-07-04 21:00:00,14.6,260
2025-07-04 22:00:00,14.5,256
2025-07-04 23:00:00,14.5,251
