[2025-07-23 09:56:14] INFO: Starting MAVSDK logger...
[2025-07-23 09:56:14] INFO: SQLite table created or exists
[2025-07-23 09:56:14] INFO: SQLite connection closed
[2025-07-23 09:56:14] INFO: Databases initialized successfully
[2025-07-23 09:56:14] INFO: Select logging options (comma separated, e.g. sql,csv,tcp):
[2025-07-23 09:56:14] INFO: Options: sql, csv, tcp
[2025-07-23 09:56:16] INFO: Logging options: sql=False, csv=True, tcp=True
[2025-07-23 09:56:16] INFO: Using TCP port 9000 for predict.py connection
[2025-07-23 09:56:16] INFO: TCP server started on port 9000
[2025-07-23 09:56:16] INFO: Attempting to connect to drone...
[2025-07-23 09:56:17] INFO: Drone connected successfully
[2025-07-23 09:56:17] INFO: Drone core is ready
[2025-07-23 09:56:17] INFO: Using real drone data
[2025-07-23 09:56:17] INFO: Logging started. Waiting for drone connection. Press Ctrl+C to stop.
[2025-07-23 09:56:22] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:56:27] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:56:32] INFO: Flushed 19 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:56:37] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:56:42] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:56:44] INFO: Client connected from ('127.0.0.1', 38792)
[2025-07-23 09:56:47] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:56:52] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:56:57] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:57:02] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:57:02] INFO: Client connected from ('127.0.0.1', 46860)
[2025-07-23 09:57:07] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:57:12] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:57:17] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:57:22] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:57:27] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:57:28] INFO: Client connected from ('127.0.0.1', 41460)
[2025-07-23 09:57:32] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:57:37] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:57:42] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:57:47] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:57:52] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:57:57] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:57:59] INFO: Client connected from ('127.0.0.1', 45410)
[2025-07-23 09:58:02] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:58:07] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:58:12] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:58:17] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:58:22] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
[2025-07-23 09:58:27] INFO: Flushed 20 rows to mavsdk_logs/drone_log_20250723_042614.csv
